chunk_key,bias_mean_kms,bias_rms_kms,n,bootstrap_mean_kms,bootstrap_std_kms
35_1,-0.6543303723452442,0.33168683388049247,84,-0.4668178511442782,0.05743412643504848
35_2,-0.3135430047093959,0.14948227882892812,96,-0.2916106602624058,0.028831274141169833
35_3,0.12945953703312693,0.2862119207608979,96,0.07005128877191,0.045145867970826294
35_4,-0.16577840212073844,0.23995549384186954,99,-0.18653794574571095,0.041441784357163475
35_5,-0.41539608910233017,0.456383193427029,70,-0.6103464861447118,0.06220550613736931
35_6,0.0788794756630138,0.2686723328526206,92,0.04885360189342072,0.04711727432155915
35_7,-1.415530166835211,0.2652870362901779,16,-1.1921490566105484,0.1447825961898809
36_0,-1.0330001842494998,0.25546017217853445,4,-1.0704015109966476,0.14388774089344217
36_1,-1.3830966859751508,0.24440185224102873,37,-1.3092277351183328,0.05650318955428106
36_2,-0.39445916425303235,0.29128151390726653,93,-0.2463318984754515,0.052067389959398754
36_3,0.12984946915643297,0.12360024128840331,92,0.10411361276563895,0.028050581305223803
36_4,0.1956346798970645,0.15898919844477577,57,0.1594294422574867,0.03263704928437456
36_5,0.9904380613385715,0.3717900648772957,16,0.714907695506907,0.17334115431266234
36_6,0.5742521874565093,0.19298128703188538,87,0.5636654107480531,0.03645249071831617
36_7,-0.23251875971154812,0.2925633851553572,51,-0.15487205278961438,0.0695189722009651
37_0,-1.064082280503468,0.3952238002563124,14,-0.9164500015389513,0.1148257047790306
37_1,-0.9833968129080327,0.34725278864327347,59,-0.8356123098034687,0.06280149889293378
37_2,-0.39786940054351116,0.22194023790742615,98,-0.34674420618765694,0.028326947930498295
37_3,-0.14757922569024468,0.5344451679527754,56,-0.10567739000160023,0.10100304533945723
37_4,-0.021881352113066566,0.16596472595385017,111,-0.049098519740080754,0.026196199370543082
37_5,-0.2515880812984196,0.23845742226490962,65,-0.12706746052449097,0.057991901220670064
37_6,-0.32566481220507026,0.22223675551873825,69,-0.23009548452779036,0.06121784922116517
37_7,0.20632297843533987,0.18970599814705835,66,0.2321095144894274,0.05726959676162283
38_0,-0.9855539055326112,0.2606636387495777,5,-0.9568595378317037,0.12930555554114964
38_1,-0.8204376340769518,0.2185751352213318,94,-0.7691826437092931,0.042389713218646465
38_2,-0.032235157494367804,0.1740683251219345,105,-0.033841479877499726,0.028460169138550394
38_3,-0.4527311085587714,0.29944202042942164,98,-0.3698453859170872,0.03858372608383357
38_4,0.2623508975126535,0.16176318443501111,109,0.3307380201583216,0.028431111559743788
38_5,0.06339243057920393,0.443370073648461,45,0.2356781476687319,0.09754186526918224
38_6,0.16107460546492958,0.3191766521129458,65,0.18569598593023756,0.06618504006512045
38_7,-0.7145294307261545,0.32349200314620796,14,-0.9351430087889974,0.0970393987497326
39_0,-1.0358990994109756,0.316053494444454,25,-1.0683231784899656,0.069906402011487
39_1,-0.9769765942529354,0.41725248622663447,5,-0.6855561622829809,0.2123576643712634
39_2,-0.8745963489797888,0.18310665427114642,81,-0.8842046260723283,0.03944917435207348
39_3,-0.6721385647953615,0.43278692688827275,54,-0.6480456118657948,0.054234336087527826
39_4,0.26983331701851343,0.2771871990643356,90,0.20787112115192038,0.04879596322743408
39_5,0.7946334407343792,0.18747855979704475,104,0.7870339247643173,0.02594691722381785
39_6,0.2888858458753707,0.19784364027953968,50,0.3224964047342162,0.06221370584620462
39_7,-1.2989663241141005,0.29955396336348405,5,-1.1301479788978788,0.18614877992025464
3_2,0.39432435670370636,0.3432186151657733,2,0.26288497197007754,0.2778086672889917
3_5,0.8436721992067042,0.3856135498274421,5,0.5050635282693172,0.3590841996244555
3_6,0.29899951870371666,0.0,1,0.29899951870371666,0.0
40_0,-1.2685978294106457,0.28253187194956464,42,-1.0081875479214057,0.07757555826717202
40_1,-0.6606518539853858,0.21922491597205856,92,-0.5367622041329679,0.041429160021856704
40_2,-0.19785963423120786,0.5753747609099349,33,-0.21202377392893978,0.11871436291365021
40_3,-0.37072148865954674,0.3058535859761909,66,-0.39201823254977086,0.06263329064812284
40_4,0.11226772416283785,0.2755197283961474,86,0.052699289393655285,0.036151045402038465
40_5,-0.1090049653342354,0.16560402522049772,98,-0.0024804171496824894,0.03753787356237583
40_6,-0.10361386241034583,0.21520962594364182,68,-0.03906464923734589,0.04343114642541939
40_7,-0.788572236648235,0.2056920772434001,88,-0.7393711384867919,0.03872058242188207
41_1,-1.0126047295553489,0.19487457330175098,94,-0.9327835052058286,0.028427546681612872
41_2,-0.23043483649454372,0.3149002930480236,104,-0.1173281494573487,0.0389024785697527
41_3,0.6211675211593902,0.3111752981265195,94,0.6748138921136418,0.04294305898133588
41_4,-0.4708816002669737,0.4211739954057876,82,-0.5943090892990387,0.06717854885289896
41_5,0.4732730011786362,0.15732468529000537,82,0.491249596730577,0.03756276917997506
41_6,-0.14199790499936654,0.374315418612737,30,-0.124442676953166,0.09690938893591178
41_7,0.6521253426082478,0.16647686174992735,48,0.5340857868672161,0.06989884032853755
42_1,-1.16508112639805,0.218283320458389,76,-1.0360887465488438,0.03587631257617945
42_2,-0.346682373047753,0.1544317604185161,52,-0.23190334823455,0.05341829845690248
42_3,-0.05760008327484079,0.20773188726448133,101,0.018631595180719263,0.02783509292483326
42_4,0.7294417969906496,0.3999639390057814,36,0.411716598886683,0.11761838199761387
42_5,0.8718400944969121,0.25669988145611333,70,0.7001663760393956,0.04878529850150266
42_6,0.5290317041245471,0.15073031789283697,73,0.5312718249105677,0.05253562514709511
42_7,0.48178244394671127,0.17394367805796287,18,0.37943694700458896,0.07664108518387981
43_1,-1.1383763053860978,0.19264838010224739,5,-1.0537027509637529,0.10294504592586846
43_2,-0.7181384728520778,0.19730938876420787,21,-0.6437133615828333,0.09476625075288998
43_3,-0.0513550058043529,0.1496328069697419,94,0.05005685803800187,0.03423486852616806
43_4,-0.25341324431625206,0.287162974491521,76,-0.2499347950812377,0.05850834095299292
43_5,0.10444239807038422,0.31114788467616855,11,0.04135540310476404,0.131909051075553
43_6,0.5662725878931107,0.171717422529313,64,0.5600779144198635,0.05733965889459498
43_7,1.2148617693568085,0.26803660883187524,25,1.0048073123681998,0.07542371090549478
44_0,-1.0213766431786577,0.4097058870342772,5,-0.9055826746209896,0.1915887853180865
44_1,0.047564285171476775,0.4049312742923968,30,0.17955131825830362,0.08969122194158605
44_2,0.05244478259579609,0.2982744498607351,65,0.1615124234656133,0.06170974821041567
44_3,0.5423292982103798,0.28096796747600894,10,0.5451256301874856,0.0811524454229398
44_4,1.0344980928158591,0.1664769739256212,17,0.9990471109157388,0.04491021877939477
44_5,-0.37937809653672133,0.4336125152487899,23,-0.21057512684433086,0.14190040734825846
44_6,0.33935807486467967,0.2170858816629424,99,0.3540070563295955,0.03402174903667304
44_7,0.16586979006888433,0.1665536978566591,32,0.07842929675451367,0.0795965844918473
45_0,-1.5525905492198815,0.39536305203571426,11,-1.6490620526164645,0.14042446752232432
45_1,0.5038785923029808,0.4387022731619891,5,0.34164177810627555,0.3338091095518518
46_6,0.9352209729243403,0.2247302937131395,48,0.7070746315007582,0.07608612835682452
46_7,0.4511969196949746,0.2757982352903288,62,0.4482834142323488,0.07024367990896617
47_0,-0.9476305822310768,0.18602462851508364,63,-0.9107283136377137,0.04706191941682817
47_1,-0.07028526999549754,0.2408982411912316,95,-0.022363163884560534,0.05126626480456724
47_2,-0.10840185996975486,0.1837463688055403,25,-0.12389544109045668,0.06617023546968526
47_3,-0.22169084106199508,0.24958636297156137,53,-0.28474343353546117,0.07650083683788607
