# chunk_key bias_dv bias_err_stat bias_rms_stat
33_4 0.64802030 0.01065354 0.33237798
33_5 0.29055371 0.00834246 0.30137303
33_6 -0.28267608 0.00768128 0.22548590
33_7 0.18659661 0.02671267 0.23426048
34_0 -1.25192030 0.20110033 0.16579607
34_1 -1.01622721 0.02419207 0.32596183
34_2 -0.12383410 0.00905389 0.37989966
34_3 -0.06809673 0.01607290 0.31879774
34_4 0.18207695 0.00988257 0.38747934
34_5 0.98080536 0.01405608 0.26733478
34_6 0.87445320 0.01063112 0.30379974
34_7 -0.69975198 0.00795554 0.18483947
35_0 -0.69646070 0.02490083 0.34870654
35_1 -0.65433037 0.00943052 0.33168683
35_2 -0.31354300 0.00524943 0.14948228
35_3 0.12945954 0.00695282 0.28621192
35_4 -0.16577840 0.00609655 0.23995549
35_5 -0.41539609 0.01011017 0.45638319
35_6 0.07887948 0.00522469 0.26867233
35_7 -1.41553017 0.02716365 0.26528704
36_0 -1.03300018 0.10838904 0.25546017
36_1 -1.38309669 0.01205186 0.24440185
36_2 -0.39445916 0.00946785 0.29128151
36_3 0.12984947 0.00538532 0.12360024
36_4 0.19563468 0.00755709 0.15898920
36_5 0.99043806 0.02442798 0.37179006
36_6 0.57425219 0.00559662 0.19298129
36_7 -0.23251876 0.01093400 0.29256339
37_0 -1.06408228 0.05782352 0.39522380
37_1 -0.98339681 0.01133500 0.34725279
37_2 -0.39786940 0.00531292 0.22194024
37_3 -0.14757923 0.01837655 0.53444517
37_4 -0.02188135 0.00423455 0.16596473
37_5 -0.25158808 0.00831440 0.23845742
37_6 -0.32566481 0.00824471 0.22223676
37_7 0.20632298 0.00779221 0.18970600
38_0 -0.98555391 0.12656716 0.26066364
38_1 -0.82043763 0.00765745 0.21857514
38_2 -0.03223516 0.00490610 0.17406833
38_3 -0.45273111 0.00697594 0.29944202
38_4 0.26235090 0.00519464 0.16176318
38_5 0.06339243 0.01358887 0.44337007
38_6 0.16107461 0.01035997 0.31917665
38_7 -0.71452943 0.03895773 0.32349200
39_0 -1.03589910 0.03782759 0.31605349
39_1 -0.97697659 0.09376749 0.41725249
39_2 -0.87459635 0.00699045 0.18310665
39_3 -0.67213856 0.01293392 0.43278693
39_4 0.26983332 0.00953440 0.27718720
39_5 0.79463344 0.00571718 0.18747856
39_6 0.28888585 0.00933488 0.19784364
39_7 -1.29896632 0.06188980 0.29955396
40_0 -1.26859783 0.01603991 0.28253187
40_1 -0.66065185 0.00842062 0.21922492
40_2 -0.19785963 0.02370307 0.57537476
40_3 -0.37072149 0.00993273 0.30585359
40_4 0.11226772 0.00750841 0.27551973
40_5 -0.10900497 0.00573922 0.16560403
40_6 -0.10361386 0.00848687 0.21520963
40_7 -0.78857224 0.00640351 0.20569208
